,train_loss_kaiki,val_loss_kaiki
0,205948.30372081374,1127.3957128432191
1,1064.4952803429662,909.3898913929763
2,1337.971168493376,837.0374376611802
3,854.2304239118755,585.8617512230734
4,733.2238372506447,574.3654542200774
5,709.9555312468397,555.473875175402
6,684.5553818983553,535.549601434504
7,661.1574979615443,517.2783268308176
8,636.3227568691217,497.24460461070237
9,607.0255913101739,476.3371451664897
10,580.173891135404,456.7834881532539
11,551.0165471444238,436.6285074474742
12,525.5415700770504,418.53640835956463
13,499.0696170152584,401.6425443482631
14,477.8325801713567,385.41246788247116
15,456.7756847393937,373.5250119700015
16,439.7905482813764,363.96135763520175
17,425.4206563708852,355.3813518042703
18,414.7602387956045,349.1804708832676
19,405.83991713045486,345.0415335349666
20,398.8519919682475,342.3924779799378
21,393.8069576522679,340.150656098301
22,389.7770857826406,337.15677650229446
23,384.7725919951899,335.2262937675402
24,381.8290541565534,333.6685290290314
25,378.2394300047248,331.10014032160194
26,375.9474697668576,329.4453151665845
27,371.4759289392761,327.4086410374317
28,368.93894746156957,325.4289938917438
29,365.535818550579,324.3018306991429
30,362.4105635460912,322.40446486982324
31,359.1160844722612,321.0267612494311
32,357.4362627047937,319.8654305171041
33,354.54996586771847,318.1399462061021
34,351.6301059661174,316.84769091559843
35,349.8461199022805,315.6530006186476
36,347.1824672661939,314.47449826731264
37,344.52595811368576,313.28745158667704
38,342.105349346272,313.00813693444707
39,340.4998066232428,311.66389480146387
40,338.96323905870753,312.1653306090716
41,337.8167577947228,309.8491098348377
42,335.5697161726967,309.68290725263574
43,331.91841555104673,308.50367307200014
44,330.8923063802873,307.6439487494311
45,330.3213979974148,308.5205501815648
46,326.797303579386,306.3765498781667
47,325.81946906920007,305.93677854075014
48,323.9262800988256,305.3085395294486
49,323.1845430540807,305.129542378546
50,321.4591820973023,304.9106869003148
51,319.38817974201686,303.5698523660308
52,318.1604495742946,303.6793695838706
53,317.8371038838112,303.1540743633381
54,315.8346564036743,302.8610807252162
55,315.38804828927744,302.87421780188106
56,313.25728945438914,301.39704880205176
57,313.8013122953643,301.85114473509555
58,311.4970270545737,301.3687015274196
59,310.3329007540706,301.6173560873976
60,309.8409738880145,300.36321725197206
61,307.5032372335786,299.1478517402723
62,306.4846533124115,299.54839880489607
63,304.772064110222,299.92324177269796
64,304.97315519758797,297.812596293329
65,303.17729201826074,298.7348369116922
66,302.25686818341995,297.77201324759176
67,301.50893523083533,296.6716403405643
68,301.48072059409134,295.55286325991733
69,300.00288702214806,295.1841466218522
70,298.929076839805,295.2851153623711
71,297.8467920790984,296.2357444392825
72,297.0314520678474,294.87772821222694
73,296.91875163945565,293.4054295808366
74,295.85982061589806,294.20120505916265
75,299.9019527003217,292.3839303914783
76,295.3665535442266,294.88480206832145
77,293.6053880611284,293.6619348618591
78,292.6887742323397,291.6374010993439
79,292.0846771931571,291.1437893469357
80,290.4056704376122,290.9775328404695
81,291.5360248158279,292.31204816207145
82,290.84250322360435,291.90215175591624
83,288.22476255546496,290.3086242675781
84,288.5381923045927,288.9080721660725
85,291.8258907972416,288.07975102396847
86,287.1589325840033,288.3970339876934
87,285.16101755679233,287.94436704765246
88,284.71503218863774,286.6367442306963
89,287.90127365951787,285.89098558148135
90,283.45385011345826,288.0959635614191
91,284.47737067262716,290.0815992633116
92,282.79368033301097,284.78628184494465
93,280.6726872218851,285.7710669063827
94,280.0390068967751,283.4019825759443
95,278.62643721497176,285.8209429990898
96,278.7606868805623,284.19597144265776
97,277.7250912366947,283.46563454044673
98,276.60150413142827,283.2950030576836
99,276.98424957176627,281.6487862299947
